show_id,imdb_title_id,title,genre,duration_imdb,director,actors,release_year,rating,description_net,description_imdb,country_imdb,language,date_added,avg_vote,votes
80208155,tt1620680,A Wrinkle in Time,"Adventure, Family, Fantasy",109,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Levi Miller, Deric McCabe, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, André Holland, Rowan Blanchard, Bellamy Young, David Oyelowo, Conrad Roberts",2018,PG,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.","After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",USA,English,2018-09-25,4.2,36925
80162144,tt4911876,White Island,Comedy,91,Benjamin Turner,"Lyndon Ogbourne, Billy Zane, Billy Boyd, Joel Dommett, Example, Gala Gordon, Darren Day, Owain Arthur, Craig Gazey, Cheryl Fergison, Phillipa Letts, Hamish Clark, Carl Cox, Ben Cura, Scarlett Archer",2016,TV-MA,"Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left.","Comic thriller with dark undertones and a big heart, set on the island of Ibiza. When Connor's best friend becomes innocently embroiled in the plans of a gang in Ibiza, he is the only one ...",UK,English,2017-09-25,4.3,209
80992496,tt6015706,China Salesman,"Action, Drama",110,Tan Bing,"Dong-xue Li, Mike Tyson, Janicke Askevold, Li Ai, Eriq Ebouaney, Steven Seagal, Zijian Wang, Bryan Byrne, Sheri Cheng, Anthony Gavard, Scotty Gelt, Marc Philip Goodman, Diana Hübel, Randall Lowell, Mekael Turner",2017,TV-MA,A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.,A Chinese IT company representative attempts to spoil a conspiracy to start a civil war in an African country orchestrated by an European businessman who is aided by a tough African warrior.,China,"Chinese, English",2018-09-24,3.0,992
70304191,tt2380564,Swearnet: The Movie,Comedy,112,Warren P. Sonoda,"Robb Wells, John Paul Tremblay, Mike Smith, Patrick Roach, Tom Green, Scott 'Carrot Top' Thompson, Mishael Morgan, Lou Jurgens, Shannon Leroux, Dana Michael Woods, Howard Jerome, Leigh MacInnis, Ann Pirvu, Emily Mountford, Fiona Carver",2014,NR,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences.","Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.",Canada,English,2017-09-24,5.9,2192
81176200,tt10076106,Manmadhudu 2,"Comedy, Drama, Romance",155,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Vennela Kishore, Rao Ramesh, Lakshmi, Nassar, Jhansi, Devadarshini Chetan, Akshara Gowda, Samantha Ruth Prabhu, Keerthi Suresh, Kittu Vissapragada",2019,TV-MA,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.","Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",India,Telugu,2019-09-23,4.6,309
80208906,tt6251390,Under the Eiffel Tower,Romance,87,Archie Borders,"Matt Walsh, Judith Godrèche, Reid Scott, Michaela Watkins, David Wain, Dylan Gelula, Tess Barthélémy, Gary Cole, Ary Abittan, Morgan Walsh, Christèle Tual, Marie-Sohna Condé, Noé Boon, Anosh McAdam",2018,TV-MA,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,"Stuart is a having a mid-life crisis. Desperate for something more in life, he tags along on his best friend's family vacation to Paris - then proposes to his friend's 26-year-old daughter, Rosalind, while standing under the Eiffel Tower.",USA,English,2019-09-23,4.9,435
80211380,tt5164184,In Darkness,"Mystery, Thriller",100,Anthony Byrne,"Ed Skrein, Natalie Dormer, Emily Ratajkowski, James Cosmo, Joely Richardson, Neil Maskell, Jan Bijvoet, Sofia Barclay, Amber Anderson, Daniel Eghan, Bern Collaço, Olegar Fedoro, Lexie Benbow-Hart, Kim Adis, Renars Latkovskis",2018,TV-MA,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes.",A blind musician hears a murder committed in the apartment upstairs from hers that sends her down a dark path into London's gritty criminal underworld.,"UK, USA","English, Serbo-Croatian, Russian",2018-09-22,5.8,10508
80099204,tt4334266,The Bad Batch,"Drama, Horror, Romance",118,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Jayda Fink, Keanu Reeves, Jim Carrey, Yolonda Ross, Aye Hasegawa, Giovanni Ribisi, Louie Lopez Jr., E.R. Ruiz, Cory Roberts, Joni Podesta, Almayvonne, Danielle Orner, Mandy Pursley",2016,R,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.","In a desert dystopia, a young woman is kidnapped by cannibals.",USA,English,2017-09-22,5.3,22370
81172721,tt8329618,King of Boys,Drama,169,Kemi Adetiba,"Sola Sobowale, Remilekun Reminisce Safaru, Adesua Etomi-Wellington, Paul Sambo, IllBliss, Toni Tones, Ademola Adedoyin, Sani MU'AZU, Jide Kosoko, Sharon Ooja, Osas Ighodaro Ajibade, Akin Lewis, Lami Philips, Hikimot Abdullahi, Adeolu Adefarasin",2018,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","King of Boys follows the story of Alhaja Eniola Salami, a businesswoman and philanthropist with a checkered past and a promising political future. She is a pillar of society -- loved by ...",Nigeria,"Yoruba, English, Ibo, Hausa",2019-09-21,5.9,202
81172728,tt7827944,The Wedding Party 2: Destination Dubai,Comedy,98,Niyi Akinmolayan,"Enyinna Nwigwe, Daniella Down, Banky W., Majed AlZubaidi, Chuka Ekweogwu, Lucy Hunter James, Sola Sobowale, Regan Tetlow",2017,TV-14,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events.","Nonso continues his romance with Deirdre, the bridesmaid from London. While on a dinner date, Nonso proposes to Deirdre by accident and sets off a chain of events too powerful to stop. ...",Nigeria,English,2019-09-21,4.5,164
